Day,Article,Maker,Color1,Color2,Month
3-27-2018,Pants,Helmut Lang,Black,,March
3-27-2018,Shoes,Vans,Black,,March
3-28-2018,Coat,Maison Martin Margiela,Gray,,March
3-28-2018,Top,Uniqlo U,Black,,March
3-28-2018,Pants,Comme Des Garcons Homme,Black,,March
3-28-2018,Shoes,Nike,Black,,March
3-29-2018,Coat,Veronique Branquinho,Brown,,March
3-29-2018,Top,Uniqlo U,Rust,,March
3-29-2018,Pants,Helmut Lang,Navy,,March
3-29-2018,Shoes,Kris Van Assche,Brown,,March
3-30-2018,Coat,Maison Martin Margiela,Gray,,March
3-30-2018,Top,GRP,Navy,,March
3-30-2018,Pants,Comme Des Garcons Homme,Black,,March
3-30-2018,Shoes,Vans,White,,March
3-31-2018,Coat,Lemaire,Brown,,March
3-31-2018,Top,Uniqlo U,White,,March
3-31-2018,Pants,Helmut Lang,Beige,,March
3-31-2018,Shoes,Vans,White,,March
